GOFFSET_FM_NAME,GOFFSET_SEGMENT,GOFFSET_CID,GOFFSET_SEG,GOFFSET_READNODE,GOFFSET_GRADE,GOFFSET_AL0,GOFFSET_AL2,GOFFSET_AL3,GOFFSET_AM1,GOFFSET_AM2,GOFFSET_AM3,GOFFSET_AL1,GOFFSET_AM0,GOFFSET_AH0,GOFFSET_EBL,GOFFSET_EBH,GOFFSET_PHCUT
FM02-06,CD,2,1,1,34,7.910410131690013,-1.4728510028927388e-05,0.0,0.0005675774551885,0.0,0.0,0.009596154102921,9.294039502955016,10.429194413332088,306.5,2000.0,67
FM02-06,CD,2,1,1,6,-17.294026382478947,-0.0002090443286506,0.0,0.0022597364114408,0.0,0.0,0.1304039098742916,2.34406820070294,6.86354102358459,306.5,2000.0,67
FM02-08,AB,3,0,0,0,9.072885609908894,0.0,0.0,0.0,0.0,0.0,0.0,9.072885609908894,9.072885609908894,306.5,2000.0,67
FM02-08,AB,3,0,0,2,4.910589648128174,-8.579886032755724e-06,0.0,0.0016024820221576,0.0,0.0,0.0068619521602368,5.71660344678882,8.921567491104023,306.5,2000.0,67
FM02-08,AB,3,0,0,34,5.682716414839047,-3.858720527549764e-06,0.0,0.0008984445815721,0.0,0.0,0.0032638402649602,6.045213303318259,7.842102466462654,306.5,2000.0,67
FM02-08,AB,3,0,0,6,-8.009703156566543,-9.19128964429472e-05,0.0,0.0025143643454793,0.0,0.0,0.0588569698650059,0.6248011393009151,5.653529830259547,306.5,2000.0,67
FM02-08,AB,3,0,1,0,9.072885609908894,0.0,0.0,0.0,0.0,0.0,0.0,9.072885609908894,9.072885609908894,306.5,2000.0,67
FM02-08,AB,3,0,1,2,4.910589648128174,-8.579886032755724e-06,0.0,0.0016024820221576,0.0,0.0,0.0068619521602368,5.71660344678882,8.921567491104023,306.5,2000.0,67
FM02-08,AB,3,0,1,34,5.682716414839047,-3.858720527549764e-06,0.0,0.0008984445815721,0.0,0.0,0.0032638402649602,6.045213303318259,7.842102466462654,306.5,2000.0,67
FM02-08,AB,3,0,1,6,-8.009703156566543,-9.19128964429472e-05,0.0,0.0025143643454793,0.0,0.0,0.0588569698650059,0.6248011393009151,5.653529830259547,306.5,2000.0,67
FM02-08,CD,3,1,0,0,10.39268491224641,0.0,0.0,0.0,0.0,0.0,0.0,10.39268491224641,10.39268491224641,306.5,2000.0,67
FM02-08,CD,3,1,0,2,7.013456119074026,-5.491540555624397e-11,0.0,0.0009700586960689,0.0,0.0,0.0009700923592125,7.013461277950784,8.953578670088675,306.5,2000.0,67
FM02-08,CD,3,1,0,34,7.291597409036069,-1.605113819636017e-09,0.0,0.0008192693839105,0.0,0.0,0.000820253318682,7.291748197039793,8.93028696486095,306.5,2000.0,67
FM02-08,CD,3,1,0,6,-11.871416454424798,-0.0001481297631613,0.0,0.0020492435041134,0.0,0.0,0.0928527883220297,2.044226788920877,6.142713797147832,306.5,2000.0,67
FM02-08,CD,3,1,1,0,10.39268491224641,0.0,0.0,0.0,0.0,0.0,0.0,10.39268491224641,10.39268491224641,306.5,2000.0,67
FM02-08,CD,3,1,1,2,7.013456119074026,-5.491540555624397e-11,0.0,0.0009700586960689,0.0,0.0,0.0009700923592125,7.013461277950784,8.953578670088675,306.5,2000.0,67
FM02-08,CD,3,1,1,34,7.291597409036069,-1.605113819636017e-09,0.0,0.0008192693839105,0.0,0.0,0.000820253318682,7.291748197039793,8.93028696486095,306.5,2000.0,67
FM02-08,CD,3,1,1,6,-11.871416454424798,-0.0001481297631613,0.0,0.0020492435041134,0.0,0.0,0.0928527883220297,2.044226788920877,6.142713797147832,306.5,2000.0,67
